 Total Nb of available Diagnostics: ndiagt=   160
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND|  1 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND|  1 |       |SMR     MR|psu/day         |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor|  1 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |AB_gU   |  1 |   102 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   102 |AB_gV   |  1 |   101 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   103 |VISCAHZ |  1 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   104 |VISCA4Z |  1 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   105 |VISCAHD |  1 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   106 |VISCA4D |  1 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   107 |VISCAHW |  1 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   108 |VISCA4W |  1 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   109 |VAHZMAX |  1 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   110 |VA4ZMAX |  1 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   111 |VAHDMAX |  1 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   112 |VA4DMAX |  1 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   113 |VAHZMIN |  1 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   114 |VA4ZMIN |  1 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   115 |VAHDMIN |  1 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   116 |VA4DMIN |  1 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   117 |VAHZLTH |  1 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   118 |VA4ZLTH |  1 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   119 |VAHDLTH |  1 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   120 |VA4DLTH |  1 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   121 |VAHZLTHD|  1 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   122 |VA4ZLTHD|  1 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   123 |VAHDLTHD|  1 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   124 |VA4DLTHD|  1 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   125 |VAHZSMAG|  1 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   126 |VA4ZSMAG|  1 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   127 |VAHDSMAG|  1 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   128 |VA4DSMAG|  1 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   129 |momKE   |  1 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   130 |Stretch |  1 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   131 |USidDrag|  1 |   132 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   132 |VSidDrag|  1 |   131 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   133 |Um_Diss |  1 |   134 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   134 |Vm_Diss |  1 |   133 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   135 |Um_ImplD|  1 |   136 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   136 |Vm_ImplD|  1 |   135 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   137 |Um_Advec|  1 |   138 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   138 |Vm_Advec|  1 |   137 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   139 |Um_Cori |  1 |   140 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   140 |Vm_Cori |  1 |   139 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   141 |Um_dPhiX|  1 |   142 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   142 |Vm_dPhiY|  1 |   141 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   143 |Um_Ext  |  1 |   144 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   144 |Vm_Ext  |  1 |   143 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   145 |botTauX |  1 |   146 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   146 |botTauY |  1 |   145 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   147 |ADVx_Um |  1 |   148 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   148 |ADVy_Um |  1 |   147 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   149 |ADVrE_Um|  1 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   150 |ADVx_Vm |  1 |   151 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   151 |ADVy_Vm |  1 |   150 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   152 |ADVrE_Vm|  1 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   153 |VISCx_Um|  1 |   154 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   154 |VISCy_Um|  1 |   153 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   155 |VISrE_Um|  1 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   156 |VISrI_Um|  1 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   157 |VISCx_Vm|  1 |   158 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   158 |VISCy_Vm|  1 |   157 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   159 |VISrE_Vm|  1 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   160 |VISrI_Vm|  1 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
